
============================================================
  HEAT Training — Dataset: WIKI
  Device: cpu
============================================================

  [data] WIKI: 12,554 entities, 24 relations
  [data] Loading quadruples...
  [data] Train: 539,286  Valid: 67,538  Test: 63,110
  [data] Building train history...
  [data] Train history done.
  [data] Building test history...
  [data] Test history done. Dataset ready.

  Entities: 12,554  |  Relations: 24  |  Train: 539,286
  Batch 200/527 | Loss 3.5597 | 4440s elapsed
  Batch 210/527 | Loss 3.5608 | 4662s elapsed
  Batch 220/527 | Loss 3.5602 | 4884s elapsed
  Batch 230/527 | Loss 3.5610 | 5103s elapsed
  Batch 240/527 | Loss 3.5621 | 5321s elapsed
  Batch 250/527 | Loss 3.5610 | 5539s elapsed
  Batch 260/527 | Loss 3.5610 | 5757s elapsed
  Batch 270/527 | Loss 3.5606 | 5977s elapsed
  Batch 280/527 | Loss 3.5601 | 6198s elapsed
  Batch 290/527 | Loss 3.5601 | 6416s elapsed
  Batch 300/527 | Loss 3.5600 | 6637s elapsed
  Batch 310/527 | Loss 3.5606 | 6857s elapsed
  Batch 320/527 | Loss 3.5607 | 7076s elapsed
  Batch 330/527 | Loss 3.5608 | 7293s elapsed
  Batch 340/527 | Loss 3.5607 | 7513s elapsed
  Batch 350/527 | Loss 3.5603 | 7734s elapsed
  Batch 360/527 | Loss 3.5593 | 7956s elapsed
  Batch 370/527 | Loss 3.5588 | 8178s elapsed
  Batch 380/527 | Loss 3.5597 | 8399s elapsed
  Batch 390/527 | Loss 3.5593 | 8619s elapsed
  Batch 400/527 | Loss 3.5587 | 8836s elapsed
  Batch 410/527 | Loss 3.5578 | 9062s elapsed
  Batch 420/527 | Loss 3.5571 | 9285s elapsed
  Batch 430/527 | Loss 3.5571 | 9507s elapsed
  Batch 440/527 | Loss 3.5573 | 9728s elapsed
  Batch 450/527 | Loss 3.5569 | 9952s elapsed
  Batch 460/527 | Loss 3.5568 | 10174s elapsed
  Batch 470/527 | Loss 3.5561 | 10396s elapsed
  Batch 480/527 | Loss 3.5555 | 10616s elapsed
  Batch 490/527 | Loss 3.5559 | 10836s elapsed
  Batch 500/527 | Loss 3.5562 | 11056s elapsed
  Batch 510/527 | Loss 3.5562 | 11276s elapsed
  Batch 520/527 | Loss 3.5564 | 11493s elapsed
Epoch 005/5 | Loss 3.5564 | Time 13796.5s
  ↳ Valid  MRR: 0.4542 | H@1: 0.3975 | H@3: 0.4930 | H@10: 0.5535

Training done. Best valid MRR: 0.5217
Results saved to results/WIKI/
