
============================================================
  HEAT Training — Dataset: GDELT
  Device: cpu
============================================================

  [data] GDELT: 7,691 entities, 240 relations
  [data] Loading quadruples...
  [data] Train: 1,734,399  Valid: 238,765  Test: 305,241
  [data] Building train history...
  [data] Train history done.
  [data] Building test history...
  [data] Test history done. Dataset ready.

  Entities: 7,691  |  Relations: 240  |  Train: 1,734,399
  Batch 730/1694 | Loss 10.7856 | 16154s elapsed
  Batch 740/1694 | Loss 10.7848 | 16358s elapsed
  Batch 750/1694 | Loss 10.7835 | 16557s elapsed
  Batch 760/1694 | Loss 10.7824 | 16763s elapsed
  Batch 770/1694 | Loss 10.7822 | 16965s elapsed
  Batch 780/1694 | Loss 10.7811 | 17175s elapsed
  Batch 790/1694 | Loss 10.7801 | 17381s elapsed
  Batch 800/1694 | Loss 10.7791 | 17581s elapsed
  Batch 810/1694 | Loss 10.7784 | 17781s elapsed
  Batch 820/1694 | Loss 10.7785 | 17983s elapsed
  Batch 830/1694 | Loss 10.7784 | 18186s elapsed
  Batch 840/1694 | Loss 10.7776 | 18389s elapsed
  Batch 850/1694 | Loss 10.7778 | 18597s elapsed
  Batch 860/1694 | Loss 10.7764 | 18801s elapsed
  Batch 870/1694 | Loss 10.7756 | 19007s elapsed
  Batch 880/1694 | Loss 10.7745 | 19207s elapsed
  Batch 890/1694 | Loss 10.7734 | 19414s elapsed
  Batch 900/1694 | Loss 10.7728 | 19618s elapsed
  Batch 910/1694 | Loss 10.7717 | 19817s elapsed
  Batch 920/1694 | Loss 10.7707 | 20019s elapsed
  Batch 930/1694 | Loss 10.7698 | 20222s elapsed
  Batch 940/1694 | Loss 10.7693 | 20426s elapsed
  Batch 950/1694 | Loss 10.7688 | 20636s elapsed
  Batch 960/1694 | Loss 10.7681 | 20845s elapsed
  Batch 970/1694 | Loss 10.7676 | 21047s elapsed
  Batch 980/1694 | Loss 10.7668 | 21251s elapsed
  Batch 990/1694 | Loss 10.7662 | 21454s elapsed
  Batch 1000/1694 | Loss 10.7656 | 21657s elapsed
  Batch 1010/1694 | Loss 10.7648 | 21865s elapsed
  Batch 1020/1694 | Loss 10.7632 | 22067s elapsed
  Batch 1030/1694 | Loss 10.7627 | 22274s elapsed
  Batch 1040/1694 | Loss 10.7622 | 22488s elapsed
  Batch 1050/1694 | Loss 10.7616 | 22689s elapsed
  Batch 1060/1694 | Loss 10.7608 | 22886s elapsed
  Batch 1070/1694 | Loss 10.7603 | 23093s elapsed
  Batch 1080/1694 | Loss 10.7597 | 23296s elapsed
  Batch 1090/1694 | Loss 10.7587 | 23498s elapsed
  Batch 1100/1694 | Loss 10.7582 | 23708s elapsed
  Batch 1110/1694 | Loss 10.7577 | 23916s elapsed
  Batch 1120/1694 | Loss 10.7571 | 24120s elapsed
  Batch 1130/1694 | Loss 10.7565 | 24329s elapsed
  Batch 1140/1694 | Loss 10.7557 | 24533s elapsed
  Batch 1150/1694 | Loss 10.7549 | 24744s elapsed
  Batch 1160/1694 | Loss 10.7544 | 24950s elapsed
  Batch 1170/1694 | Loss 10.7537 | 25152s elapsed
  Batch 1180/1694 | Loss 10.7533 | 25356s elapsed
  Batch 1190/1694 | Loss 10.7526 | 25555s elapsed
  Batch 1200/1694 | Loss 10.7523 | 25759s elapsed
  Batch 1210/1694 | Loss 10.7517 | 25966s elapsed
  Batch 1220/1694 | Loss 10.7509 | 26170s elapsed
  Batch 1230/1694 | Loss 10.7501 | 26375s elapsed
  Batch 1240/1694 | Loss 10.7497 | 26577s elapsed
  Batch 1250/1694 | Loss 10.7490 | 26783s elapsed
  Batch 1260/1694 | Loss 10.7489 | 26988s elapsed
  Batch 1270/1694 | Loss 10.7484 | 27189s elapsed
  Batch 1280/1694 | Loss 10.7474 | 27390s elapsed
  Batch 1290/1694 | Loss 10.7467 | 28375s elapsed
  Batch 1300/1694 | Loss 10.7462 | 29387s elapsed
  Batch 1310/1694 | Loss 10.7460 | 30414s elapsed
  Batch 1320/1694 | Loss 10.7456 | 31393s elapsed
  Batch 1330/1694 | Loss 10.7453 | 41513s elapsed
  Batch 1340/1694 | Loss 10.7442 | 41706s elapsed
  Batch 1350/1694 | Loss 10.7434 | 41895s elapsed
  Batch 1360/1694 | Loss 10.7429 | 42077s elapsed
  Batch 1370/1694 | Loss 10.7424 | 42264s elapsed
  Batch 1380/1694 | Loss 10.7418 | 42454s elapsed
  Batch 1390/1694 | Loss 10.7406 | 42646s elapsed
  Batch 1400/1694 | Loss 10.7400 | 42836s elapsed
  Batch 1410/1694 | Loss 10.7393 | 43031s elapsed
  Batch 1420/1694 | Loss 10.7388 | 43226s elapsed
  Batch 1430/1694 | Loss 10.7383 | 43419s elapsed
  Batch 1440/1694 | Loss 10.7380 | 43612s elapsed
  Batch 1450/1694 | Loss 10.7377 | 43818s elapsed
  Batch 1460/1694 | Loss 10.7372 | 44024s elapsed
  Batch 1470/1694 | Loss 10.7370 | 44236s elapsed
  Batch 1480/1694 | Loss 10.7367 | 44453s elapsed
  Batch 1490/1694 | Loss 10.7361 | 44667s elapsed
  Batch 1500/1694 | Loss 10.7358 | 44884s elapsed
  Batch 1510/1694 | Loss 10.7351 | 45091s elapsed
  Batch 1520/1694 | Loss 10.7342 | 45299s elapsed
  Batch 1530/1694 | Loss 10.7335 | 45511s elapsed
  Batch 1540/1694 | Loss 10.7329 | 45725s elapsed
  Batch 1550/1694 | Loss 10.7321 | 45942s elapsed
  Batch 1560/1694 | Loss 10.7319 | 46407s elapsed
  Batch 1570/1694 | Loss 10.7311 | 46620s elapsed
  Batch 1580/1694 | Loss 10.7306 | 46835s elapsed
  Batch 1590/1694 | Loss 10.7301 | 47052s elapsed
  Batch 1600/1694 | Loss 10.7297 | 47261s elapsed
  Batch 1610/1694 | Loss 10.7291 | 47474s elapsed
  Batch 1620/1694 | Loss 10.7284 | 47691s elapsed
  Batch 1630/1694 | Loss 10.7279 | 47899s elapsed
  Batch 1640/1694 | Loss 10.7275 | 48117s elapsed
  Batch 1650/1694 | Loss 10.7268 | 48310s elapsed
  Batch 1660/1694 | Loss 10.7264 | 48503s elapsed
  Batch 1670/1694 | Loss 10.7258 | 48699s elapsed
  Batch 1680/1694 | Loss 10.7255 | 48893s elapsed
  Batch 1690/1694 | Loss 10.7247 | 49091s elapsed
Epoch 002/5 | Loss 10.7246 | Time 49168.0s
  ↳ Valid  MRR: 0.1578 | H@1: 0.0990 | H@3: 0.1590 | H@10: 0.2770
  Batch 10/1694 | Loss 10.5616 | 185s elapsed
  Batch 20/1694 | Loss 10.5369 | 382s elapsed
  Batch 30/1694 | Loss 10.5426 | 580s elapsed
  Batch 40/1694 | Loss 10.5451 | 778s elapsed
  Batch 50/1694 | Loss 10.5464 | 970s elapsed
  Batch 60/1694 | Loss 10.5464 | 1167s elapsed
  Batch 70/1694 | Loss 10.5410 | 1364s elapsed
  Batch 80/1694 | Loss 10.5375 | 1557s elapsed
  Batch 90/1694 | Loss 10.5340 | 1742s elapsed
  Batch 100/1694 | Loss 10.5385 | 1936s elapsed
  Batch 110/1694 | Loss 10.5395 | 2127s elapsed
  Batch 120/1694 | Loss 10.5411 | 2312s elapsed
  Batch 130/1694 | Loss 10.5429 | 2512s elapsed
  Batch 140/1694 | Loss 10.5409 | 2710s elapsed
  Batch 150/1694 | Loss 10.5429 | 2910s elapsed
  Batch 160/1694 | Loss 10.5444 | 3120s elapsed
  Batch 170/1694 | Loss 10.5434 | 3332s elapsed
  Batch 180/1694 | Loss 10.5441 | 3545s elapsed
  Batch 190/1694 | Loss 10.5466 | 3755s elapsed
  Batch 200/1694 | Loss 10.5452 | 3954s elapsed
  Batch 210/1694 | Loss 10.5468 | 4148s elapsed
  Batch 220/1694 | Loss 10.5477 | 4349s elapsed
  Batch 230/1694 | Loss 10.5490 | 4551s elapsed
  Batch 240/1694 | Loss 10.5470 | 4752s elapsed
  Batch 250/1694 | Loss 10.5479 | 4951s elapsed
  Batch 260/1694 | Loss 10.5474 | 5154s elapsed
  Batch 270/1694 | Loss 10.5475 | 5357s elapsed
  Batch 280/1694 | Loss 10.5484 | 5553s elapsed
  Batch 290/1694 | Loss 10.5495 | 5743s elapsed
  Batch 300/1694 | Loss 10.5487 | 5942s elapsed
  Batch 310/1694 | Loss 10.5481 | 6142s elapsed
  Batch 320/1694 | Loss 10.5464 | 6345s elapsed
  Batch 330/1694 | Loss 10.5436 | 6543s elapsed
  Batch 340/1694 | Loss 10.5434 | 6745s elapsed
  Batch 350/1694 | Loss 10.5444 | 6947s elapsed
  Batch 360/1694 | Loss 10.5445 | 7144s elapsed
  Batch 370/1694 | Loss 10.5454 | 7341s elapsed
  Batch 380/1694 | Loss 10.5451 | 7540s elapsed
  Batch 390/1694 | Loss 10.5451 | 7735s elapsed
  Batch 400/1694 | Loss 10.5453 | 7940s elapsed
  Batch 410/1694 | Loss 10.5462 | 8129s elapsed
  Batch 420/1694 | Loss 10.5457 | 8323s elapsed
  Batch 430/1694 | Loss 10.5473 | 8525s elapsed
  Batch 440/1694 | Loss 10.5469 | 8734s elapsed
  Batch 450/1694 | Loss 10.5465 | 8944s elapsed
  Batch 460/1694 | Loss 10.5463 | 9143s elapsed
  Batch 470/1694 | Loss 10.5459 | 9339s elapsed
  Batch 480/1694 | Loss 10.5460 | 9535s elapsed
  Batch 490/1694 | Loss 10.5447 | 9730s elapsed
  Batch 500/1694 | Loss 10.5457 | 9929s elapsed
  Batch 510/1694 | Loss 10.5459 | 10130s elapsed
  Batch 520/1694 | Loss 10.5445 | 10322s elapsed
  Batch 530/1694 | Loss 10.5454 | 10522s elapsed
  Batch 540/1694 | Loss 10.5463 | 10729s elapsed
  Batch 550/1694 | Loss 10.5453 | 10937s elapsed
  Batch 560/1694 | Loss 10.5454 | 11136s elapsed
